Fusion Name	Gene 1 Symbol	Gene 2 Symbol
PPIL6:ENSG00000289565	PPIL6	ENSG00000289565
EFCAB2:SMYD3	EFCAB2	SMYD3
TSPYL4:NAT8L	TSPYL4	NAT8L
ARL17A:ARL17B	ARL17A	ARL17B
RUNDC1:TANGO2	RUNDC1	TANGO2
IGIP:PURA	IGIP	PURA
FNDC9:RIN1	FNDC9	RIN1
TMEM119:ITPRIPL2	TMEM119	ITPRIPL2
SMDT1:NDUFA6	SMDT1	NDUFA6
KANTR:ACTG1	KANTR	ACTG1
TRAPPC2:UBE2G2	TRAPPC2	UBE2G2
MLLT3:FOCAD	MLLT3	FOCAD
MYT1L:TRAPPC12	MYT1L	TRAPPC12
SRGAP2C:SRGAP2	SRGAP2C	SRGAP2
ALG14:TRNAU1AP	ALG14	TRNAU1AP
CAMK1D:C1orf174	CAMK1D	C1orf174
IPPK:SLC4A1AP	IPPK	SLC4A1AP
COX7C:THNSL1	COX7C	THNSL1
HP1BP3:WDR43	HP1BP3	WDR43
RPL23:SYNM	RPL23	SYNM
GPR108:RPS27A	GPR108	RPS27A
RTN2:CCDC142	RTN2	CCDC142
STK40:PANK2	STK40	PANK2
DKC1:KCNB1	DKC1	KCNB1
SERPINF1:RTN1	SERPINF1	RTN1
TINCR:DSTN	TINCR	DSTN
RTL8C:TERF2IP	RTL8C	TERF2IP
AP4B1:MRPS6	AP4B1	MRPS6
ZC3H8:ROCK2	ZC3H8	ROCK2
LDHA:YWHAB	LDHA	YWHAB
IL6ST:DMTN	IL6ST	DMTN
ANKRD16:CD63	ANKRD16	CD63
UBQLN1:GKAP1	UBQLN1	GKAP1
NRSN2:CORO6	NRSN2	CORO6
MRPS17:AARS2	MRPS17	AARS2
MEA1:RPL37	MEA1	RPL37
HACL1:SSR1	HACL1	SSR1
MT1G:LMO2	MT1G	LMO2
CIT:DDIT4	CIT	DDIT4
CIT:ELP5	CIT	ELP5
CCDC91:TAGLN3	CCDC91	TAGLN3
SLU7:ACOT9	SLU7	ACOT9
ATP6V1G2:OMG	ATP6V1G2	OMG
FRA10AC1:PFDN5	FRA10AC1	PFDN5
ATG101:RAB15	ATG101	RAB15
FUCA2:STXBP1	FUCA2	STXBP1
OMG:ATP6V1C1	OMG	ATP6V1C1
BBLN:PSMB2	BBLN	PSMB2
KLC1:ST8SIA3	KLC1	ST8SIA3
UBA2:RTCA	UBA2	RTCA
PRDX5:PPP1R1B	PRDX5	PPP1R1B
GIPC1:SNRNP27	GIPC1	SNRNP27
ITM2C:EIF1	ITM2C	EIF1
GCC2:RGPD6	GCC2	RGPD6
ANKRD36:ANKRD36C	ANKRD36	ANKRD36C
PCDH8:CFDP1	PCDH8	CFDP1
AGAP2:TMEM47	AGAP2	TMEM47
CDK4:ERLIN2	CDK4	ERLIN2
OS9:PRICKLE1	OS9	PRICKLE1
RAB11FIP5:FRA10AC1	RAB11FIP5	FRA10AC1
RNF157:RNFT2	RNF157	RNFT2
KCNMB4:SUV39H2	KCNMB4	SUV39H2
SAP30:PDHA1	SAP30	PDHA1
